[01:26:32] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.3
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:37] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 5.6
[01:26:59] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 3.6
[01:27:01] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 5.6
[01:27:01] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 8.2
[01:27:02] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 9.0
[01:27:04] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[01:27:05] Marcell_O_Neill sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
