[00:07:53] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 18.0
[00:09:40] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 7.3
[00:09:40] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 7.4
[00:09:47] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.4
[00:09:47] Aldo_B_Dueno sebzest kapott tole: Kevin_R_Sorrentino | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.4
[00:09:47] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.4
[00:09:47] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 11.4
[00:10:20] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 13.8
[00:10:28] Torres_Butler sebzest kapott tole: Levy_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 147.0/5.0 (S: 147.0/5.0) | Tav: 0.8
[00:10:54] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: Combat (-34.6) | E/P: 113.5/0.0 (S: 113.5/0.0) | Tav: 3.5
[00:10:54] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: Combat (-39.6) | E/P: 78.8/0.0 (S: 78.8/0.0) | Tav: 3.2
[00:10:55] Aldo_B_Dueno sebzest kapott tole: Kevin_R_Sorrentino | sebzes: MP5 (-8.2) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 3.2
[00:11:01] Kevin_R_Sorrentino sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 49.2/0.0 (S: 49.2/0.0) | Tav: 25.8
